scenario_generator,method,method_label,assigned_robot_rate_mean,assigned_robot_rate_std,collision_risk_rate_mean,collision_risk_rate_std,communication_messages_mean,communication_messages_std,complexity_score_mean,complexity_score_std,energy_proxy_wh_mean,energy_proxy_wh_std,estimated_memory_mb_mean,estimated_memory_mb_std,false_positive_rate_mean,false_positive_rate_std,mean_travel_distance_m_mean,mean_travel_distance_m_std,messages_per_robot_mean,messages_per_robot_std,method_communication_pattern,method_comparison_group,method_execution_model,method_family,method_ownership,method_scope,method_trainable_parameters,method_training_type,method_tuned_parameters,method_uses_decoder,method_uses_neural_policy,method_variant,mobile_conflict_rate_mean,mobile_conflict_rate_std,n,obstacle_intersection_rate_mean,obstacle_intersection_rate_std,performance_gap_vs_reference_mean,performance_gap_vs_reference_std,route_crossing_rate_mean,route_crossing_rate_std,runtime_ms_mean,runtime_ms_std,scalar_feasible_rate_mean,scalar_feasible_rate_std,score_value_mean,score_value_std,solved_rate_mean,solved_rate_std,task_completion_rate_mean,task_completion_rate_std,throughput_tasks_per_min_mean,throughput_tasks_per_min_std,timeout_rate_mean,timeout_rate_std,total_travel_distance_m_mean,total_travel_distance_m_std,transport_success_rate_mean,transport_success_rate_std,wrench_feasible_rate_mean,wrench_feasible_rate_std
ALL_SCENARIOS,cbba_partitioned,CBBA partitioned,0.5,0.0,0.001609375,0.0,224.0,0.0,6144.0,0.0,25.914218196554646,0.0,2.00064,0.0,0.625,0.0,27.575713830535356,0.0,3.5,0.0,zone_auction_bids,baseline_sota_decentralized_scale,partitioned_cbba_auction,sota,baseline,decentralized,0,none,6,False,False,partitioned_cbba_like_auction,0.0,0.0,1,0.0,0.0,0.14501421009958154,0.0,0.0064375,0.0,3.5723999608308077,0.0,0.8125,0.0,213.79416554457637,0.0,1.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,441.2114212885657,0.0,0.1875,0.0,0.1875,0.0
ALL_SCENARIOS,centralized_coalition_oracle,Centralized coalition oracle,0.5,0.0,0.0018395833333333333,0.0,1024.0,0.0,4294967296.0,0.0,30.270274050886368,0.0,24.024576,0.0,0.625,0.0,32.2110591362583,0.0,16.0,0.0,global_all_subsets,reference_model_based_oracle_centralized_scale,centralized_subset_coalition_search,model_based_oracle,reference,centralized,0,none,2,False,False,exact_like_small_scale_coalition_search_timeout_large,0.0,0.0,1,0.0,0.0,0.0014017607323471915,0.0,0.007358333333333333,0.0,1.5071999514475465,0.0,0.875,0.0,285.68361944588696,0.0,1.0,0.0,0.25,0.0,1.3333333333333333,0.0,0.0,0.0,515.3769461801328,0.0,0.25,0.0,0.25,0.0
ALL_SCENARIOS,centralized_hungarian_expanded,Centralized Hungarian expanded,0.5,0.0,0.0019749999999999998,0.0,1024.0,0.0,262144.0,0.0,22.04959339053647,0.0,24.024576,0.0,0.625,0.0,23.463307779739885,0.0,16.0,0.0,global_all_robot_load_slots,baseline_classic_centralized_scale,centralized_expanded_assignment,classic,baseline,centralized,0,none,1,False,False,expanded_slot_hungarian_polynomial_but_scalar,0.0,0.0,1,0.0,0.0,0.30683182724706165,0.0,0.007899999999999999,0.0,0.10820000898092985,0.0,0.75,0.0,151.72333670628095,0.0,1.0,0.0,0.125,0.0,0.6666666666666666,0.0,0.0,0.0,375.41292447583817,0.0,0.125,0.0,0.1875,0.0
ALL_SCENARIOS,classic_local_greedy,Classic local greedy,0.5,0.0,0.0020291666666666665,0.0,224.0,0.0,1024.0,0.0,28.492086804023952,0.0,2.00064,0.0,0.625,0.0,30.318863034308958,0.0,3.5,0.0,local_distance_beacons,baseline_classic_decentralized_scale,distributed_nearest_greedy,classic,baseline,decentralized,0,none,2,False,False,nearest_local_greedy,0.0,0.0,1,0.0,0.0,0.14632852701060292,0.0,0.008116666666666666,0.0,1.2541000032797456,0.0,0.8125,0.0,213.2194241974094,0.0,1.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,485.1018085489433,0.0,0.1875,0.0,0.1875,0.0
ALL_SCENARIOS,ours_mean_field_approximation,Ours mean-field approximation,0.5,0.0,0.0015145833333333333,0.0,80.0,0.0,1024.0,0.0,26.46524912101877,0.0,2.00064,0.0,0.625,0.0,28.16207422040111,0.0,1.25,0.0,aggregate_density_broadcasts,proposed_model_based_decentralized_scale,mean_field_density_controller,model_based,proposed,decentralized,0,model_based_tuning_optional,7,False,False,mean_field_density_allocation,0.0,0.0,1,0.0,0.0,0.145108992477655,0.0,0.006058333333333333,0.0,1.4579999260604382,0.0,0.8125,0.0,213.75267374975692,0.0,1.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,450.59318752641775,0.0,0.1875,0.0,0.1875,0.0
ALL_SCENARIOS,ours_wrench_market_hierarchical,Ours wrench-market hierarchical,0.5,0.0,0.0012437499999999998,0.0,224.0,0.0,505.754247590989,0.0,28.25397617961813,0.0,2.00064,0.0,0.5625,0.0,30.065485896367825,0.0,3.5,0.0,zone_summaries_plus_local_wrench_bids,proposed_model_based_hierarchical_scale,hierarchical_wrench_market,model_based,proposed,hierarchical,0,model_based_tuning_optional,13,False,False,zone_hierarchical_wrench_market,0.0,0.0,1,0.0,0.0,0.0,0.0,0.004974999999999999,0.0,1.5090999659150839,0.0,0.8125,0.0,286.48706760793146,0.0,1.0,0.0,0.25,0.0,1.3333333333333333,0.0,0.0,0.0,481.0477743418852,0.0,0.25,0.0,0.25,0.0
debug,cbba_partitioned,CBBA partitioned,0.5,0.0,0.001609375,0.0,224.0,0.0,6144.0,0.0,25.914218196554646,0.0,2.00064,0.0,0.625,0.0,27.575713830535356,0.0,3.5,0.0,zone_auction_bids,baseline_sota_decentralized_scale,partitioned_cbba_auction,sota,baseline,decentralized,0,none,6,False,False,partitioned_cbba_like_auction,0.0,0.0,1,0.0,0.0,0.14501421009958154,0.0,0.0064375,0.0,3.5723999608308077,0.0,0.8125,0.0,213.79416554457637,0.0,1.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,441.2114212885657,0.0,0.1875,0.0,0.1875,0.0
debug,centralized_coalition_oracle,Centralized coalition oracle,0.5,0.0,0.0018395833333333333,0.0,1024.0,0.0,4294967296.0,0.0,30.270274050886368,0.0,24.024576,0.0,0.625,0.0,32.2110591362583,0.0,16.0,0.0,global_all_subsets,reference_model_based_oracle_centralized_scale,centralized_subset_coalition_search,model_based_oracle,reference,centralized,0,none,2,False,False,exact_like_small_scale_coalition_search_timeout_large,0.0,0.0,1,0.0,0.0,0.0014017607323471915,0.0,0.007358333333333333,0.0,1.5071999514475465,0.0,0.875,0.0,285.68361944588696,0.0,1.0,0.0,0.25,0.0,1.3333333333333333,0.0,0.0,0.0,515.3769461801328,0.0,0.25,0.0,0.25,0.0
debug,centralized_hungarian_expanded,Centralized Hungarian expanded,0.5,0.0,0.0019749999999999998,0.0,1024.0,0.0,262144.0,0.0,22.04959339053647,0.0,24.024576,0.0,0.625,0.0,23.463307779739885,0.0,16.0,0.0,global_all_robot_load_slots,baseline_classic_centralized_scale,centralized_expanded_assignment,classic,baseline,centralized,0,none,1,False,False,expanded_slot_hungarian_polynomial_but_scalar,0.0,0.0,1,0.0,0.0,0.30683182724706165,0.0,0.007899999999999999,0.0,0.10820000898092985,0.0,0.75,0.0,151.72333670628095,0.0,1.0,0.0,0.125,0.0,0.6666666666666666,0.0,0.0,0.0,375.41292447583817,0.0,0.125,0.0,0.1875,0.0
debug,classic_local_greedy,Classic local greedy,0.5,0.0,0.0020291666666666665,0.0,224.0,0.0,1024.0,0.0,28.492086804023952,0.0,2.00064,0.0,0.625,0.0,30.318863034308958,0.0,3.5,0.0,local_distance_beacons,baseline_classic_decentralized_scale,distributed_nearest_greedy,classic,baseline,decentralized,0,none,2,False,False,nearest_local_greedy,0.0,0.0,1,0.0,0.0,0.14632852701060292,0.0,0.008116666666666666,0.0,1.2541000032797456,0.0,0.8125,0.0,213.2194241974094,0.0,1.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,485.1018085489433,0.0,0.1875,0.0,0.1875,0.0
