campaign_id,experiment,world_key,world_id,world_seed,scenario,N,K,capacity_cv,pressure,implementation_version,graph_regime,radius,radius_over_rc,graph_seed,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected,method,algorithm_status,cycle_observed,consistent,raw_certificate,distance_cost,capacity_deficit,robot_conflict,excess_capacity,assigned_robots,max_coalition_size,unserved_loads,rounds,messages,bytes,messages_per_agent,bytes_per_agent,runtime_ms,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified,optimality_gap
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,971949659,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,41.480092873993016,1.5,971949659,43,5.375,1,6,1,0.32347436520041156,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,FEASIBLE,329.6681598718631,0.0,0,9.000000000000004,13,5,0,30,796,115136,49.75,7196.0,28.057499963324517,OPTIMAL,318.3919128462368,318.3919128462368,0.0,0.01107200002297759,True,True,0.03541624824834056
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,971949659,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,41.480092873993016,1.5,971949659,43,5.375,1,6,1,0.32347436520041156,True,weighted_grape,CONVERGED,False,True,FEASIBLE,332.4915739288062,0.0,0,9.000000000000004,13,5,0,225,6441,270264,402.5625,16891.5,132.55639997078106,OPTIMAL,318.3919128462368,318.3919128462368,0.0,0.01107200002297759,True,True,0.04428397994323009
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,971949659,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,41.480092873993016,1.5,971949659,43,5.375,1,6,1,0.32347436520041156,True,weighted_pair_grape,CONVERGED,False,True,FEASIBLE,332.4915739288062,0.0,0,9.000000000000004,13,5,0,241,6441,270264,402.5625,16891.5,148.9090999821201,OPTIMAL,318.3919128462368,318.3919128462368,0.0,0.01107200002297759,True,True,0.04428397994323009
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,1650646117,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,49.41476746769516,1.5,1650646117,52,6.5,2,3,1,1.3477460292769896,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,FEASIBLE,488.08958511839336,0.0,0,19.000000000000007,15,4,0,24,754,116142,47.125,7258.875,22.70150004187599,OPTIMAL,429.42282360728655,429.4228236072865,0.0,0.002649799978826195,True,True,0.13661770703822307
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,1650646117,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,49.41476746769516,1.5,1650646117,52,6.5,2,3,1,1.3477460292769896,True,weighted_grape,CONVERGED,False,True,FEASIBLE,472.58441445934386,0.0,0,19.000000000000007,15,4,0,257,7705,323298,481.5625,20206.125,127.57710000732914,OPTIMAL,429.42282360728655,429.4228236072865,0.0,0.002649799978826195,True,True,0.10051070525196217
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,1650646117,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,49.41476746769516,1.5,1650646117,52,6.5,2,3,1,1.3477460292769896,True,weighted_pair_grape,CONVERGED,False,True,FEASIBLE,432.51192377127745,0.0,0,19.000000000000007,15,4,0,321,9108,382224,569.25,23889.0,267.7844000281766,OPTIMAL,429.42282360728655,429.4228236072865,0.0,0.002649799978826195,True,True,0.007193609641056093
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r2,uniform-p0.7-r2,1808233241,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,53.52034746228047,1.5,1808233241,48,6.0,3,3,1,1.21866765769549,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,CAPACITY_DEFICIT,567.2966896153926,2.8063242119488763,0,26.806324211948873,16,4,1,24,699,112221,43.6875,7013.8125,19.751799991354346,OPTIMAL,372.8985510292392,372.8985510292392,0.0,0.0019257999956607819,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r2,uniform-p0.7-r2,1808233241,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,53.52034746228047,1.5,1808233241,48,6.0,3,3,1,1.21866765769549,True,weighted_grape,CONVERGED,False,True,FEASIBLE,428.7746764204718,0.0,0,13.999999999999995,14,4,0,241,6839,286950,427.4375,17934.375,123.31249995622784,OPTIMAL,372.8985510292392,372.8985510292392,0.0,0.0019257999956607819,True,True,0.1498426991389713
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r2,uniform-p0.7-r2,1808233241,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,53.52034746228047,1.5,1808233241,48,6.0,3,3,1,1.21866765769549,True,weighted_pair_grape,CONVERGED,False,True,FEASIBLE,383.79268917537365,0.0,0,13.999999999999995,14,4,0,321,8539,358350,533.6875,22396.875,453.18799995584413,OPTIMAL,372.8985510292392,372.8985510292392,0.0,0.0019257999956607819,True,True,0.029214750542917143
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r3,uniform-p0.7-r3,3714920918,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,63.50013010369336,1.5,3714920918,90,11.25,7,2,1,5.903313689727254,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,FEASIBLE,249.8442920812784,0.0,0,9.000000000000007,13,5,0,22,941,189107,58.8125,11819.1875,47.1106999902986,OPTIMAL,219.44550279059126,219.4455027905913,0.0,0.003479600010905415,True,True,0.13852546032668342
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r3,uniform-p0.7-r3,3714920918,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,63.50013010369336,1.5,3714920918,90,11.25,7,2,1,5.903313689727254,True,weighted_grape,CONVERGED,False,True,FEASIBLE,220.8118763566764,0.0,0,9.000000000000007,13,5,0,225,11457,480654,716.0625,30040.875,228.23419998167083,OPTIMAL,219.44550279059126,219.4455027905913,0.0,0.003479600010905415,True,True,0.006226482423697806
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r3,uniform-p0.7-r3,3714920918,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,63.50013010369336,1.5,3714920918,90,11.25,7,2,1,5.903313689727254,True,weighted_pair_grape,CONVERGED,False,True,FEASIBLE,219.44550279059132,0.0,0,9.000000000000007,13,5,0,257,12188,511356,761.75,31959.75,416.82520002359524,OPTIMAL,219.44550279059126,219.4455027905913,0.0,0.003479600010905415,True,True,2.590320518668892e-16
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r4,uniform-p0.7-r4,1702622760,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,68.11110422201854,1.5,1702622760,96,12.0,7,2,1,6.209455638856795,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,FEASIBLE,601.6864817058064,0.0,0,23.999999999999996,16,6,0,23,1247,228377,77.9375,14273.5625,52.88889998337254,OPTIMAL,409.8866562514029,409.88665625140294,0.0,0.0038822999922558665,True,True,0.4679338117725003
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r4,uniform-p0.7-r4,1702622760,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,68.11110422201854,1.5,1702622760,96,12.0,7,2,1,6.209455638856795,True,weighted_grape,CONVERGED,False,True,FEASIBLE,440.8818279534068,0.0,0,13.999999999999996,14,6,0,241,12695,532614,793.4375,33288.375,224.8875999939628,OPTIMAL,409.8866562514029,409.88665625140294,0.0,0.0038822999922558665,True,True,0.07561888446300899
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r4,uniform-p0.7-r4,1702622760,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,68.11110422201854,1.5,1702622760,96,12.0,7,2,1,6.209455638856795,True,weighted_pair_grape,CONVERGED,False,True,FEASIBLE,412.0024016422372,0.0,0,13.999999999999996,14,6,0,289,14413,604770,900.8125,37798.125,539.8157999734394,OPTIMAL,409.8866562514029,409.88665625140294,0.0,0.0038822999922558665,True,True,0.005161781576847999
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r5,uniform-p0.7-r5,3047800900,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,57.621216851604075,1.5,3047800900,72,9.0,1,3,1,0.8995870123896841,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,CAPACITY_DEFICIT,499.4453186758151,4.9244169829691655,0,18.924416982969163,14,6,1,25,1046,190778,65.375,11923.625,42.35639999387786,OPTIMAL,332.4224622048835,332.4224622048835,0.0,0.0034079000470228493,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r5,uniform-p0.7-r5,3047800900,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,57.621216851604075,1.5,3047800900,72,9.0,1,3,1,0.8995870123896841,True,weighted_grape,CONVERGED,False,True,FEASIBLE,357.69776776488794,0.0,0,8.999999999999996,13,6,0,225,9364,392856,585.25,24553.5,196.8388999812305,OPTIMAL,332.4224622048835,332.4224622048835,0.0,0.0034079000470228493,True,True,0.07603368735180831
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r5,uniform-p0.7-r5,3047800900,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,57.621216851604075,1.5,3047800900,72,9.0,1,3,1,0.8995870123896841,True,weighted_pair_grape,CONVERGED,False,True,FEASIBLE,332.4224622048835,0.0,0,8.999999999999996,13,6,0,289,11185,469338,699.0625,29333.625,488.96599997533485,OPTIMAL,332.4224622048835,332.4224622048835,0.0,0.0034079000470228493,True,True,0.0
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r6,uniform-p0.7-r6,3663561766,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,52.56680128031092,1.5,3663561766,66,8.25,5,3,1,2.4527864139652675,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,FEASIBLE,451.7711921491503,0.0,0,14.0,14,5,0,24,874,160558,54.625,10034.875,28.54610001668334,OPTIMAL,407.0679080363866,407.0679080363866,0.0,0.0034605999826453626,True,True,0.10981775578527748
SP1_N3_DISTRIBUTED_BASELINES_v2,E2,E2:uniform:p0.7:cv0.0:r6,uniform-p0.7-r6,3663561766,uniform,16,5,0.0,0.7,sp1-n3-1.1,medium,52.56680128031092,1.5,3663561766,66,8.25,5,3,1,2.4527864139652675,True,weighted_grape,CONVERGED,False,True,FEASIBLE,437.51051042730745,0.0,0,14.0,14,5,0,241,9161,384366,572.5625,24022.875,212.6427000039257,OPTIMAL,407.0679080363866,407.0679080363866,0.0,0.0034605999826453626,True,True,0.07478507096707726
