cfg_corridor,cfg_protocol,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
lease,smith,0.0,147.0861732000485,8.593800911653132,0,126.25999999995766,-0.09964164524751018,-0.056892712094505526,763208,2,159.08794149024982,0,6,0,16657,True,126.27999999995764,0.07211597008231507
lease,smith,0.0,123.7733965999214,8.384035017343574,0,123.93999999995977,-0.14294171030914862,-0.06574244794589745,703644,2,164.30284052668833,0,6,1,8413,True,123.95999999995975,0.038777191825712265
lease,smith,13.5399999999998,182.25804749992676,10.575041257454554,0,154.67999999993182,-0.09764108765987606,-0.08879807583480659,971640,2,164.48216171767052,0,6,2,15731,True,154.6999999999318,0.057966625958624896
lease,smith,0.0,339.61414860002697,13.974402724761593,0,156.31999999993033,-0.14354515835066797,-0.14899992335451984,1782999,1,164.99191714740508,0,13,3,13326,False,300.01999999979967,0.07674118411653938
lease,smith,0.0,262.0114693000214,11.09862017365138,0,180.11999999990869,-0.0910639372621887,-0.08230129734975566,1259248,2,164.39158327703177,0,6,4,12949,True,180.13999999990867,0.0
lease,smith,0.0,161.13767780002672,11.136670022101326,0,150.87999999993528,-0.181139599018238,-0.08208213507944673,819568,2,162.53916119675563,0,6,5,14167,True,150.89999999993526,0.10198467514768517
lease,smith,0.0,306.0977272000164,13.281324041301584,0,300.01999999979967,-0.1362155080917059,-0.7108261399238192,1753942,0,164.73394516928846,0,24,6,18682,False,300.01999999979967,0.15242584785945795
lease,smith,0.0,150.81486599997152,8.915793732149275,0,126.61999999995733,-0.17015305962343907,0.3399450213092212,750928,2,164.1693678202221,0,6,7,10692,True,126.63999999995731,0.027745474236025913
lease,smith,0.0,170.55713600001764,11.449020937792524,0,177.53999999991103,0.012228776285166942,-0.12508614386792072,1024612,2,164.82799323822968,0,6,8,12042,True,177.559999999911,0.02753924751137049
lease,smith,0.0,291.9932239999762,16.720744004063565,0,74.8600000000044,-0.3409505264063673,3.1409334470238885,1615021,1,162.6988266292967,0,18,9,36841,False,300.01999999979967,0.1491498697515583
lease,smith,0.0,348.16881850000937,20.9517221658644,0,300.01999999979967,-0.09934195907121818,8.29158627776904,790886,0,164.78577062159414,0,30,10,122889,False,300.01999999979967,0.23529862027246584
lease,smith,0.0,142.33806899993215,8.029280746205025,0,123.31999999996033,-0.14698301585439766,-0.12137302122190441,670100,2,162.62033852338874,0,6,11,9483,True,123.33999999996031,0.032749284423069014
lease,smith,0.0,179.3201424999861,8.528040890813545,0,132.2599999999522,-0.02247387795423833,-0.10611671829251001,683208,2,162.84306823519117,0,6,12,12552,True,132.2799999999522,0.0
lease,smith,11.919999999999835,134.65273779991549,8.195896615861182,0,126.69999999995726,-0.08792008724755129,0.3510794055424906,804716,2,161.40556095143774,0,6,13,15437,True,126.71999999995724,0.079214987518613
lease,smith,0.0,309.08425590000115,16.573278020661373,0,300.01999999979967,-0.13098391441759816,11.081332134486367,1610893,0,155.53903812382,0,15,14,22410,False,300.01999999979967,0.1470761269605041
lease,smith,0.0,201.1172602000879,11.679688711944042,0,172.59999999991552,-0.17788519310170942,-0.11757304543023395,1205452,2,164.04594460792066,0,6,15,25807,True,172.6199999999155,0.11983355484443592
lease,smith,0.0,184.6103319999529,9.45002924629642,0,165.27999999992218,-0.28628434861658847,-0.10061422607342063,934480,2,164.27208058168665,0,6,16,11384,True,165.29999999992216,0.12355063833457627
lease,smith,0.0,126.25804899993818,7.344969448491241,0,115.39999999996753,-0.1433738362298086,-0.13057735404407778,681216,2,164.95158979780044,0,6,17,13220,True,115.41999999996752,0.0
