method,dynamic_id,fitness_id,rounding_id,matching_valid,world_hash,closure_success,continuous_converged,continuous_timeout,final_success,finite_metrics,matching_required,nonnegative_ok,passed,simplex_ok
SMI,SMI,ASYM,QR1,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,7845519d902dac74,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,7845519d902dac74,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,7845519d902dac74,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,af17d7f1c1a812c6,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,af17d7f1c1a812c6,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,af17d7f1c1a812c6,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,af17d7f1c1a812c6,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,af17d7f1c1a812c6,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,af17d7f1c1a812c6,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,04a264bfcd49d0a4,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,04a264bfcd49d0a4,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,04a264bfcd49d0a4,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,04a264bfcd49d0a4,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,04a264bfcd49d0a4,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,04a264bfcd49d0a4,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,04a264bfcd49d0a4,True,False,True,True,True,True,True,True,True
