experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,shape_valid,speed_valid,hard_clearance_valid,safety_margin_valid,target_consistency_valid,message
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6653,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6654,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,False,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,sota_decentralized_vo_cargo,True,True,True,True,True,True,False,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6655,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,False,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6656,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6657,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6658,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6659,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,False,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,ours_hamiltonian_cargo,True,True,True,True,True,True,False,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6660,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,formation_corridor_push,formation_corridor_push_v00,6661,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6650,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6651,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6652,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6653,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6654,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6655,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6656,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6657,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,ours_explicit_vgne_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,ours_explicit_vgne_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6658,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_explicit_control_law,multi_group_crossing_push,multi_group_crossing_push_v00,6659,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
