M,quota_mode,spatial_mode,replicates,milp_feasibility_rate,hungarian_feasibility_rate,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,hungarian_feasible_mean,hungarian_feasible_std,hungarian_feasible_median,hungarian_feasible_p05,hungarian_feasible_p95,hungarian_coverage_mean,hungarian_coverage_std,hungarian_coverage_median,hungarian_coverage_p05,hungarian_coverage_p95,hungarian_total_distance_mean,hungarian_total_distance_std,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,hungarian_solver_wall_ns_mean,hungarian_solver_wall_ns_std,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_mean,milp_to_hungarian_distance_ratio_std,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_mean,milp_to_hungarian_solver_ratio_std,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
160,extreme,clustered,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2199.155232355237,246.4248941261721,2090.84572933767,1948.1915307563581,2602.2660590264286,0.2503802837984789,0.04190488265816185,0.23807854101311007,0.20123107281304112,0.31495126054017697,61.87521299389867,5.252363216406473,62.5527876934584,53.90187629378002,67.84152152808777,134.4,2.4979991993593593,134.0,131.45,138.55,5073585560.0,11521282.08266771,5069952300.0,5060668175.0,5092916830.0,5091857940.0,10381456.92860111,5089247250.0,5079078395.0,5109727395.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2793.33606921199,273.22919973222355,2692.1607196743253,2508.0017069630253,3218.2202595055055,2429700.0,469573.0124272476,2469200.0,1771575.0,3034600.0,0.7869529257332787,0.03357692178403077,0.793154971791347,0.7365923068849832,0.8320731899451522,2173.211357086372,444.30231131844937,2059.4528424629552,1668.1581378105845,2863.116539239727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3547372293784127,0.020306893025198846,0.3537161952931229,0.32745067824065305,0.38731533043876726
160,extreme,corridor,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,911.714260360846,108.70348766968553,903.2833006305141,762.0993366837345,1068.3700567419658,0.12616169770361604,0.027357752349520606,0.12466121837217146,0.09777978030094377,0.16977562061613602,82.49837495133389,6.92274905819762,83.69381647894548,72.2452152330643,90.53197404868442,139.8,3.026549190084311,138.5,136.45,145.0,5072572600.0,18128068.704139445,5065799200.0,5057529605.0,5104354115.0,5089191340.0,18026854.32792976,5083978800.0,5073256685.0,5120520830.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1131.911570279543,164.4034620600595,1130.1302669864222,877.0357314015055,1367.7296004100094,1439290.0,603236.1087501311,1161400.0,972825.0,2617769.9999999995,0.8100714858504775,0.05138743395262292,0.8137434023386622,0.7280060742522203,0.8790288594118427,3982.1588005329386,1130.9414045129647,4359.494173992602,1951.3682346007583,5221.346779673445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37361530113037805,0.028225419596136326,0.38095977436751743,0.3357906956218053,0.4069624891177285
160,extreme,ring,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3582.1208048627036,203.22129314897595,3556.004845532144,3300.776078981527,3872.1671339916725,0.283631953428147,0.02609778852124016,0.29219994552631157,0.2436867186871529,0.3137170631232034,64.50166618738179,9.776269456391809,64.14937154312449,54.11376950548679,80.35165976286532,127.2,2.9257477676655586,128.0,122.8,131.2,5068995640.0,13984208.496672237,5068158300.0,5051236085.0,5089005660.0,5085306310.0,14000772.847700229,5085460700.0,5066639225.0,5105058975.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4451.713194640622,242.48295257313953,4409.625576789225,4145.183445377295,4779.054917758868,2395030.0,740138.7992126882,2421200.0,1431545.0,3478879.999999999,0.8048745959039602,0.022564589241705672,0.8064985366671888,0.7728802823355964,0.8382947899158856,2334.7727699573666,753.0126572418783,2131.8113295557464,1496.1137500928685,3585.5620447077195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35127232532796826,0.020622515229053524,0.35365013677918367,0.31471906754049367,0.37673957813463477
160,extreme,separated,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7387.090147909383,487.677746340862,7446.011853190766,6856.268001355153,8137.852957690736,0.5920681660471686,0.04219127777054998,0.5989493325537936,0.5232878213622724,0.65229353206514,54.81222104393478,12.30688693054061,52.7498296615679,39.30571100244979,72.27295111006296,124.9,2.118962010041709,125.0,121.45,127.55,5068386290.0,14700472.555292228,5067132600.0,5050168005.0,5090475295.0,5084508500.0,16704230.869513268,5084228700.0,5064370600.0,5110035855.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9584.0123908497,560.4262574702212,9436.400567706525,9003.68063976119,10556.815463416491,3660130.0,780148.8512457093,3313700.0,2807360.0,4879289.999999999,0.7706339993695084,0.01703130730306287,0.7669750814721887,0.7461522120771578,0.7932646084411454,1443.1153205842352,277.7279878033803,1527.9871551153492,1049.7789100002171,1803.5620998785023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35465462301200684,0.016365711631179333,0.35179101912430377,0.33380183297212485,0.3813990380045629
160,extreme,uniform,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,0.5499999999999989,1626.1588070629944,229.17331261412224,1588.3243545584328,1311.4829371643632,1932.0826669904834,0.21565335537617214,0.03943789571345655,0.20370638550029485,0.1695516465225452,0.27528823093341953,83.2695747514299,5.8179067014340715,82.84009326408341,74.56372081198288,92.26396113557708,141.2,2.1354156504062622,141.0,138.0,144.0,4960219310.0,289632354.2012199,5053851200.0,4521324045.0,5068099755.0,4977761630.0,289473969.83879584,5072246900.0,4538845805.0,5086163945.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1933.6308949531522,315.9757541654572,1817.7382405705043,1554.4609699769546,2388.5678138903277,1257000.0,434664.02427622187,1060350.0,859900.0,2078684.9999999998,0.844163222114896,0.03256422324201061,0.8346890036890781,0.8019696362642673,0.8886138459399961,4333.864568450798,1213.8363454001963,4396.162727067329,2439.295048535231,5929.275285728062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36569849616023986,0.01998608350560913,0.3661264634771894,0.33537262763128367,0.39549771459343286
160,high,clustered,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2058.553677312596,288.1074207120264,1984.8486901459885,1742.1590480429456,2549.9864068791317,0.24452383131319544,0.04983185105615301,0.2370278562251113,0.1933061840667091,0.3330753864536897,54.398910550660936,12.210170606858194,49.53356403233488,43.60438374213411,76.01796880517792,131.9,2.5475478405713994,131.5,129.0,136.2,5076148260.0,11433309.704035835,5073110000.0,5062142860.0,5092262985.0,5091626870.0,11190266.335976996,5091458200.0,5076043520.0,5105501270.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2638.9735944954323,264.3949861973719,2578.7547824495346,2338.2285264868633,3023.7681458412544,2054930.0,465137.90223975515,1958050.0,1445815.0,2770119.9999999995,0.779283892321276,0.0636442888414878,0.7558834663190729,0.7269431214380382,0.8883225790146513,2604.1304848549544,609.6013312696969,2596.826071635237,1834.5973101295194,3546.213396811845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3768001461259577,0.009544959710737669,0.3730823671384094,0.36673661713340977,0.3931585917173311
160,high,corridor,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,686.3575999044594,103.77566213656591,663.5005657843128,559.9123325407547,863.4536809967606,0.09096139199588277,0.012673949591991219,0.0907868910659559,0.07316700066883831,0.1109216872715009,67.12888706991222,9.831779743384077,65.57643377901329,55.27197807635343,83.96302626812715,135.0,2.7202941017470885,136.0,130.9,138.0,5064490990.0,11153104.562089428,5065504850.0,5049180900.0,5079867815.0,5080818660.0,10826013.70848938,5083466650.0,5065621080.0,5095475570.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,847.0041256039758,142.51493430882394,803.4032145931035,697.6611607999223,1099.0752672626088,649690.0,197412.86406918877,593500.0,494175.0,992049.9999999995,0.8136315379708108,0.04710150503030373,0.8143040092821773,0.7383315350408712,0.878990125932491,8293.492528232533,1709.6078558029985,8547.308418929355,5414.659725688882,10249.756854287556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3518667303001511,0.02017710194399593,0.3560990212253725,0.3222431463062751,0.3810161095335709
160,high,ring,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3403.441739435924,80.41521375797088,3376.6472512199907,3309.599950894235,3509.8209470726315,0.2789615395857662,0.013172195849998113,0.2800935524209683,0.2598518094398616,0.2959849996218479,52.81234853553864,9.802159320955566,55.320018583774015,38.21342739287207,64.89457223818872,120.0,2.0,120.5,117.45,122.55,5074944570.0,14561919.157655697,5077033100.0,5054174440.0,5092680785.0,5091764630.0,15934197.266072113,5093832400.0,5068858555.0,5111473475.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4490.758590284916,143.3163966278136,4455.462579783159,4309.882541756813,4684.5458591755705,1853330.0,348612.6103571126,1680250.0,1502030.0,2372905.0,0.7581429857355194,0.011844507041128789,0.7560376386694854,0.7444361712027966,0.7770005447385449,2830.527609061671,492.23072312821756,3028.5024915800705,2143.1704206175004,3366.26206368129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3553184014445917,0.017137534744423633,0.35266247796719263,0.33796807969804615,0.38615203848009827
160,high,separated,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7287.754614040052,438.7094602500554,7227.416981669197,6712.881726996421,8019.770613872729,0.6145402806392607,0.03421986742836773,0.6204108581478074,0.5588723489174374,0.6593915118353436,52.841832347939636,14.281093375430963,52.042371082412416,36.49660264610402,75.84678273570186,122.0,3.6606010435446255,121.0,118.0,128.0,5069347360.0,8640935.543469816,5071225950.0,5056707380.0,5081675730.0,5085612160.0,9281126.540479878,5085729500.0,5072379715.0,5098332875.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9601.792772332059,516.7959282113394,9647.354605505969,8762.50036892799,10277.884593599207,3569010.0,625709.0353351148,3552900.0,2702245.0,4329270.0,0.7591883082738876,0.025877599618167577,0.7492215855920183,0.733360209957847,0.8025995085201281,1466.8153686501478,267.09132035340633,1432.4687908690348,1172.1527431053976,1877.4212855594706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3578420269869293,0.024655784477518577,0.3619818415105273,0.31913825042682564,0.3875318010340217
160,high,uniform,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1121.5074320797567,156.85090119958073,1128.201704101652,943.4426270686336,1392.573510629035,0.14055813505971892,0.03295177669882773,0.13717013214663515,0.10213004823763046,0.19177040792015054,80.60772361001538,9.064417269378465,78.13430797521495,71.76408087347697,95.63682502971741,136.5,1.9621416870348585,137.0,133.45,139.1,5058041880.0,8195613.589451372,5060900550.0,5045447580.0,5067913560.0,5072640390.0,8483752.394129617,5074468100.0,5060501600.0,5082286855.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1369.13448941482,234.03155515217884,1324.9787302944044,1101.9569186747185,1763.6229544176535,697590.0,190724.36367700904,690000.0,449840.0,983519.9999999997,0.8237238464598068,0.038755722596534994,0.8138378537578037,0.7823413947484145,0.8886097478829409,7802.0160243413975,2124.753385489992,7356.179929114611,5260.790688511212,11308.46799269912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.360217914254504,0.014434044677997183,0.35972364108076005,0.3361561960721164,0.3763548927165128
