M,capacity_mode,replicates,milp_feasibility_rate,hungarian_feasibility_rate,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,hungarian_feasible_mean,hungarian_feasible_std,hungarian_feasible_median,hungarian_feasible_p05,hungarian_feasible_p95,hungarian_coverage_mean,hungarian_coverage_std,hungarian_coverage_median,hungarian_coverage_p05,hungarian_coverage_p95,hungarian_total_distance_mean,hungarian_total_distance_std,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,hungarian_solver_wall_ns_mean,hungarian_solver_wall_ns_std,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_mean,milp_to_hungarian_distance_ratio_std,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_mean,milp_to_hungarian_solver_ratio_std,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
160,extreme,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4,0.4898979485566356,0.0,0.0,1.0,781.2937099481628,159.60032717544294,757.4792368163197,640.4653539315132,1036.6293302667161,0.13854941498263298,0.025988300528134937,0.1301431628047618,0.11214862146442324,0.18259828414896093,126.41792180026714,26.12265480919007,123.7754869140905,93.83372409246014,166.48359791132484,96.2,7.426977851050857,95.5,87.9,107.69999999999999,4817596880.0,361053753.8210808,5067069600.0,4174504845.0,5097377225.0,4832848140.0,362085313.49185705,5081100100.0,4188400230.0,5115374260.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1139.2656397868136,129.46836004564562,1116.389964090995,1012.4001903250667,1379.3900316656222,562980.0,191636.68646686626,480750.0,388260.0,886254.9999999995,0.683626656769511,0.08766028531745475,0.6858238430151722,0.5708422313016857,0.8159617841914055,9192.314119854442,1958.0554710111771,9620.308845286316,6052.057146626712,11249.481177068854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3764084740242517,0.4802542706307606,1.258709559360986,0.9962213444856759,2.202701120896831
160,high,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,0.5499999999999989,788.8446695164253,74.24280284699825,768.4902899348295,717.1375234567979,923.0771795521048,0.11964190302481856,0.013963689469459358,0.11649095226683237,0.10549634107219795,0.14511855182888858,71.24523055683957,7.814255882134489,71.22567607911515,61.30457255040838,84.08223088116027,112.3,4.473253849269008,112.0,106.35,119.55,4959316850.0,331721918.1123498,5066991150.0,4455702750.0,5089328810.0,4975847220.0,330885172.4864618,5082412500.0,4472014835.0,5106853905.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1084.6095608611968,84.41795591409485,1073.2801503843402,980.1272912201333,1229.2627269128943,600890.0,175797.88650606695,497700.0,416490.0,872725.0,0.7281698893913393,0.05011426056930854,0.7354945407587274,0.6523357927639196,0.7961599247476732,8943.75157133223,2501.197123263207,10166.288376080865,5805.933578052547,12207.761023145402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7307000292818373,0.07505125127608651,0.7120737771450711,0.6611639079271585,0.8714705406005162
160,homogeneous,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1130.204489086303,108.94983869737392,1113.1872466125405,992.7142278831735,1299.3657478052285,0.10802561156731472,0.014102365821032196,0.10975688790857924,0.08926160343246302,0.12911572228200938,129.82003173572625,12.742979846667238,129.7419697083963,112.78448605638775,148.5163133860611,160.0,0.0,160.0,160.0,160.0,155779430.0,9965553.89770684,152736350.0,144697365.0,172572970.0,171370710.0,9889595.58399129,169504650.0,159039490.0,187275614.99999997,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1130.204489086303,108.94983869737392,1113.1872466125405,992.7142278831735,1299.3657478052285,695430.0,262351.4362453539,617500.0,449820.0,1161174.9999999995,1.0,0.0,1.0,1.0,1.0,246.27378802118892,66.56238417458492,247.51663039170148,147.77054802087284,342.3796577371536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
160,low,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1011.0698453982498,79.7630514445818,1010.948039758069,916.9608956652872,1136.0152513519658,0.10582235051052682,0.018750227689209774,0.10193227208111935,0.08689910054444368,0.13733770713192095,74.90644201933969,11.010105793521705,76.69038799060496,60.71712914073098,90.3866487697277,145.6,2.615339366124404,145.5,142.0,149.55,5064120400.0,15799751.97014181,5061013600.0,5049150445.0,5093260200.0,5079420760.0,16471277.873632027,5074514950.0,5062543690.0,5109384515.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1147.508135002335,112.16387950269934,1126.6845872556491,1026.4284435575933,1344.7719330517857,674830.0,452734.399068593,478150.0,394620.0,1527144.999999999,0.8827634900758448,0.024354779814700873,0.8840372304333577,0.8445576226333469,0.9103725641025082,9556.85011611456,3336.665698534509,10577.197708204389,3601.055918819563,12875.946352450024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1515734167331679,0.006696999168290639,0.1531098685756892,0.14321652695789153,0.16076415205016148
160,moderate,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,935.4430492336802,71.4846307727806,963.9564975175371,804.8961434817097,1006.429172461559,0.11386655563843184,0.019449751104592853,0.11665727260043485,0.08183872445504954,0.13791527231150208,64.3308474514846,5.607060319389711,65.79690660370386,55.47916322163016,70.59718503362089,133.4,2.4979991993593593,133.0,129.9,137.0,5063895450.0,11145405.365463385,5061458650.0,5049593050.0,5083179155.0,5080146960.0,12194553.069317466,5077139300.0,5063775540.0,5100905140.0,561704.0,0.0,561704.0,561704.0,561704.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1128.2563013541462,103.68487847270313,1128.8053255947625,963.6038097718618,1274.4655464085938,595010.0,171497.2387532814,585900.0,383095.0,847429.9999999998,0.8309241833721094,0.035829617121973995,0.8349930511303576,0.7730494175812936,0.8728534831235033,9259.62707117954,2697.0580582753046,8769.359112041593,6046.617446940683,13329.605606731997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35907744118557827,0.01755454902754427,0.35541856974077346,0.33906683852579694,0.3893931689196435
40,extreme,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,394.5735695050216,60.19341696466622,387.4200063639138,322.76353885518427,488.28161198974914,0.2695313925294028,0.06286988112713873,0.23716441907737135,0.21646407230806583,0.3766252641223511,33.51834557191699,19.178054098434423,27.589310865737005,16.341728062009565,68.96312579937843,23.8,2.993325909419153,24.0,20.0,28.199999999999996,481923070.0,345445752.3224248,369183050.0,150877340.0,1120793009.9999995,483348780.0,345747521.7879625,370322600.0,152054870.0,1122829394.9999995,34824.0,0.0,34824.0,34824.0,34824.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,595.4397253540092,82.04276312096383,593.665071656045,511.44146165691734,725.0517283191637,48420.0,14220.956367277131,43450.0,34220.0,75350.0,0.669306412621286,0.11295354176250301,0.64259383486892,0.5481969033433477,0.8592456304765838,9310.94526420864,4511.938644056277,8578.463762845757,3856.9051633580275,17354.19103960396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.358072262120193,0.5881531407550292,1.1464877867985677,0.8976715239530902,2.5005815785029064
40,high,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,391.3772989939714,68.84405729392148,385.7291136094608,316.7756963397235,509.16285721070346,0.21376485538533924,0.060682850405997746,0.20416598221582988,0.16127330137058563,0.32232936622124886,20.00530575268114,4.971110628085166,19.170503325872865,13.061986796629922,27.662359392529698,27.3,2.147091055358389,26.5,24.45,30.0,575431520.0,627785230.9782571,332134550.0,157153615.0,1798215879.999999,576776950.0,628075658.2122798,333601100.0,158282190.0,1800079024.999999,34824.0,0.0,34824.0,34824.0,34824.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,530.2217862136525,87.26201737823496,509.26183748568315,445.8836309912879,669.5878597560923,40200.0,6859.446041773344,38000.0,31160.0,50009.99999999999,0.7389914867127357,0.053139866919152484,0.7421181665094414,0.6669004438036312,0.8221316134196871,13599.440667639163,13760.155969753207,7459.901962264151,4462.941757622936,40005.86837765955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7242211316840599,0.0770143465561373,0.6985583377191849,0.6442388434556252,0.8627023148266482
40,homogeneous,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,523.1185500923091,59.366897354049556,500.2688153951044,454.42746579957037,615.610860900994,0.17704234438785788,0.022649403662300234,0.17394993662197789,0.14688323450988622,0.21048575884033072,33.62344966419368,4.316621489863628,33.12262901002057,27.933475116107864,40.24948631992849,40.0,0.0,40.0,40.0,40.0,8890720.0,1744892.6132000214,9880300.0,5715545.0,10327410.0,10274870.0,1972298.6609791124,11423050.0,6768405.0,11947970.0,34824.0,0.0,34824.0,34824.0,34824.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,523.1185500923091,59.366897354049556,500.2688153951044,454.42746579957037,615.610860900994,52500.0,23400.811951725093,48600.0,31430.0,94694.99999999996,1.0,0.0,1.0,1.0,1.0,184.345835130153,40.22353963182587,192.22977973961122,112.66109149455919,228.00160535337548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
40,low,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,571.436419919694,110.53219345043217,555.5064058109597,434.6328920713842,753.8256478900283,0.22488423777056185,0.06883071182625168,0.20698598937913085,0.1493027872951374,0.33092078294365196,18.41629824557821,4.757594078822031,18.58962004869238,10.833253456201742,24.921957318861764,36.8,1.16619037896906,37.0,35.0,38.0,622191740.0,461220024.35208553,368428100.0,219435735.0,1486608284.9999995,623635450.0,461156855.1288167,369821550.0,220943570.0,1487978074.9999995,34824.0,0.0,34824.0,34824.0,34824.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,629.9176230972458,135.36225873647638,597.5470170495937,477.1787545294352,846.6284424150514,63620.0,30672.554507246376,56500.0,36110.0,116674.99999999993,0.9125286023212251,0.04671329723465941,0.9151868789096145,0.8512454154344152,0.9846487107381824,10683.378052429294,8089.152693986094,8614.435757892074,3487.264064120055,24868.900137183155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14931350166842647,0.011589216961179835,0.1493061441715019,0.13464087489479412,0.1659255875043262
40,moderate,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,474.8596113133168,61.58727838375326,479.58484168950486,387.93255987751536,550.468127027882,0.2009961908994172,0.0375338059389446,0.19818426497276076,0.15061963490412159,0.2587622508654283,18.063264641181426,3.8489916372704407,17.00911492137954,13.200746932221328,24.131349787798808,34.9,1.5132745950421556,34.5,32.9,37.0,718378520.0,579605774.5417876,383101250.0,314285725.0,1774950704.9999998,719895140.0,579524197.3233615,384532250.0,316254665.0,1776212844.9999998,34824.0,0.0,34824.0,34824.0,34824.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,551.504715455651,94.07242565104049,564.9232993127362,449.61759779669404,698.1292185916569,51090.0,13701.638588139742,48450.0,36710.0,75814.99999999999,0.8693809987056127,0.08113302012005516,0.9040949061597133,0.7568155063020686,0.9735876048080948,14343.846827671263,11746.473714448124,9177.40623038996,5593.467487254757,37375.13113010329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3307432929549757,0.02107682646078585,0.32722040612531866,0.30272938892299867,0.36277287910549255
