experiment_id,scenario_generator,scenario_variant_id,seed,method,method_family,method_scope,method_ownership,load_id,load_index,mass_kg,required_capacity_kg,required_robots,wrench_fx_n,wrench_fy_n,wrench_tau_nm,assigned_robots,assigned_load,feasible_assigned,infeasible_assigned,assigned_robot_ids,assigned_slot_labels,scalar_feasible,wrench_feasible,false_positive,wrench_residual_norm,wrench_margin,force_error_n,torque_error_nm,achieved_fx_n,achieved_fy_n,achieved_tau_nm,slot_coverage_ratio,complementarity_gain,reward,status,method_variant,method_comparison_group,method_engine,method_payoff_signal,method_role,method_recommended_phase
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,wrench_oracle,model_based_oracle,centralized,reference,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,exact_role_slot_wrench,centralized_wrench_oracle_reference,oracle,strict_wrench_feasible_score,reference,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,oracle_scalar_assignment,model_based_oracle,centralized,reference,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,exact_scalar_capacity_reference,centralized_scalar_reference,oracle,scalar_capacity_only,reference_scalar_false_positive,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,hungarian_slots,classic,centralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,hungarian_robot_slot_cost,classic_centralized_baseline,hungarian,robot_slot_cost_only,classic_baseline,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,capacity_greedy_slots,classic,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-02 amr-03,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18163259442273927,2.0,WRENCH_OK,capacity_greedy_slots,classic_decentralized_baseline,greedy,scalar_capacity_only,classic_baseline,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,cbba_slots,sota,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-03,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18163259442273927,2.0,WRENCH_OK,cbba_slot_wrench_proxy,sota_decentralized_baseline,cbba,marginal_wrench_bid,sota_proxy,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,replicator_wrench_deficit,model_based,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,replicator_wrench_deficit,wrench_dynamics_baseline,replicator,wrench_deficit_minus_rho,engine_ablation,B
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,bnn_wrench_deficit,model_based,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,bnn_wrench_deficit,wrench_dynamics_baseline,bnn,positive_excess_wrench_deficit,engine_ablation,B
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,smith_wrench_deficit,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,smith_qr_wrench_deficit,proposed_wrench_deficit,smith,wrench_deficit_minus_rho,main_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,smith_wrench_marginal,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,smith_qr_delta_rho_wrench_marginal,proposed_wrench_ablation,smith,delta_rho_marginal,proposal_ablation,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,smith_wrench_marginal_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,smith_qr_delta_rho_guarded_local_repair,proposed_wrench_guarded_repair,smith,delta_rho_marginal_plus_wrench_abstention_guard,guarded_local_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,support_dual_wrench_market,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,residual_support_wrench_market,proposed_wrench_market,residual_support_market,current_residual_wrench_direction,main_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,support_dual_wrench_market_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,residual_support_guarded_local_repair,proposed_wrench_guarded_repair,residual_support_market,current_residual_wrench_direction_plus_abstention_guard,guarded_local_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4401,smith_wrench_pairs_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.18921775030054147,2.0,WRENCH_OK,pair_aware_wrench_guarded_repair,proposed_wrench_guarded_repair,smith_pair_repair,pairwise_delta_rho_plus_wrench_abstention_guard,pair_complementarity_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,wrench_oracle,model_based_oracle,centralized,reference,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,exact_role_slot_wrench,centralized_wrench_oracle_reference,oracle,strict_wrench_feasible_score,reference,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,oracle_scalar_assignment,model_based_oracle,centralized,reference,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,exact_scalar_capacity_reference,centralized_scalar_reference,oracle,scalar_capacity_only,reference_scalar_false_positive,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,hungarian_slots,classic,centralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,hungarian_robot_slot_cost,classic_centralized_baseline,hungarian,robot_slot_cost_only,classic_baseline,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,capacity_greedy_slots,classic,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-03,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.202496429489427,2.0,WRENCH_OK,capacity_greedy_slots,classic_decentralized_baseline,greedy,scalar_capacity_only,classic_baseline,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,cbba_slots,sota,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-03,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.202496429489427,2.0,WRENCH_OK,cbba_slot_wrench_proxy,sota_decentralized_baseline,cbba,marginal_wrench_bid,sota_proxy,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,replicator_wrench_deficit,model_based,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,replicator_wrench_deficit,wrench_dynamics_baseline,replicator,wrench_deficit_minus_rho,engine_ablation,B
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,bnn_wrench_deficit,model_based,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,bnn_wrench_deficit,wrench_dynamics_baseline,bnn,positive_excess_wrench_deficit,engine_ablation,B
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,smith_wrench_deficit,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,smith_qr_wrench_deficit,proposed_wrench_deficit,smith,wrench_deficit_minus_rho,main_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,smith_wrench_marginal,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,smith_qr_delta_rho_wrench_marginal,proposed_wrench_ablation,smith,delta_rho_marginal,proposal_ablation,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,smith_wrench_marginal_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,smith_qr_delta_rho_guarded_local_repair,proposed_wrench_guarded_repair,smith,delta_rho_marginal_plus_wrench_abstention_guard,guarded_local_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,support_dual_wrench_market,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,residual_support_wrench_market,proposed_wrench_market,residual_support_market,current_residual_wrench_direction,main_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,support_dual_wrench_market_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,residual_support_guarded_local_repair,proposed_wrench_guarded_repair,residual_support_market,current_residual_wrench_direction_plus_abstention_guard,guarded_local_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4402,smith_wrench_pairs_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.21140401364184028,2.0,WRENCH_OK,pair_aware_wrench_guarded_repair,proposed_wrench_guarded_repair,smith_pair_repair,pairwise_delta_rho_plus_wrench_abstention_guard,pair_complementarity_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,wrench_oracle,model_based_oracle,centralized,reference,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,exact_role_slot_wrench,centralized_wrench_oracle_reference,oracle,strict_wrench_feasible_score,reference,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,oracle_scalar_assignment,model_based_oracle,centralized,reference,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,exact_scalar_capacity_reference,centralized_scalar_reference,oracle,scalar_capacity_only,reference_scalar_false_positive,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,hungarian_slots,classic,centralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,2 1,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,hungarian_robot_slot_cost,classic_centralized_baseline,hungarian,robot_slot_cost_only,classic_baseline,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,capacity_greedy_slots,classic,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-04,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,capacity_greedy_slots,classic_decentralized_baseline,greedy,scalar_capacity_only,classic_baseline,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,cbba_slots,sota,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,cbba_slot_wrench_proxy,sota_decentralized_baseline,cbba,marginal_wrench_bid,sota_proxy,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,replicator_wrench_deficit,model_based,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,replicator_wrench_deficit,wrench_dynamics_baseline,replicator,wrench_deficit_minus_rho,engine_ablation,B
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,bnn_wrench_deficit,model_based,decentralized,baseline,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,bnn_wrench_deficit,wrench_dynamics_baseline,bnn,positive_excess_wrench_deficit,engine_ablation,B
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,smith_wrench_deficit,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,smith_qr_wrench_deficit,proposed_wrench_deficit,smith,wrench_deficit_minus_rho,main_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,smith_wrench_marginal,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,smith_qr_delta_rho_wrench_marginal,proposed_wrench_ablation,smith,delta_rho_marginal,proposal_ablation,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,smith_wrench_marginal_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,smith_qr_delta_rho_guarded_local_repair,proposed_wrench_guarded_repair,smith,delta_rho_marginal_plus_wrench_abstention_guard,guarded_local_repair_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,support_dual_wrench_market,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,residual_support_wrench_market,proposed_wrench_market,residual_support_market,current_residual_wrench_direction,main_proposal,A
SP3_DIAG_wrench_market_protocol_invariance,point_load_degenerate,point_load_degenerate_v00,4403,support_dual_wrench_market_guarded,model_based,decentralized,proposed,load-01,1,42.0,42.0,2,48.0,0.0,0.0,2,True,True,False,amr-01 amr-02,1 2,True,True,False,2.3684757858670006e-16,0.04999999999999977,1.4210854715202004e-14,0.0,47.999999999999986,0.0,0.0,1.0,0.16092800001786806,2.0,WRENCH_OK,residual_support_guarded_local_repair,proposed_wrench_guarded_repair,residual_support_market,current_residual_wrench_direction_plus_abstention_guard,guarded_local_repair_proposal,A
